keyframe,time_s,duration_s,source_line_start,source_line_end,D13,F19,E15,F20,E16,E17,F21,F22,E18,A1,B7,B8,A2,B9,A3,A5,A4,B10,B11,B12,A6
22,22.830000000000002,0.332,196,203,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
23,26.848000000000003,4.018,204,211,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
24,27.348000000000003,0.5,212,223,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2699806186678729,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2699806186678729,-0.0061359144248963274,0.0061359144248963274
25,28.830000000000002,1.482,224,235,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.06902913327319204,0.03221359436393666,-0.12885437745574763,0.33594179472861724,0.030679607031066588,-0.3666214017596833,-0.1733398355760624,-0.30372820036468007,-0.06902913327319204,-0.06442718872787381
26,32.384,3.554,236,243,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.06902913327319204,0.03221359436393666,-0.12885437745574763,0.33594179472861724,0.030679607031066588,-0.3666214017596833,-0.1733398355760624,-0.30372820036468007,-0.06902913327319204,-0.06442718872787381
27,33.456,1.072,244,255,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.019941748060851527,-0.1487961429698921,0.09817477042468103,-0.013805833635955696,0.1595340019401067,0.021475735393722096,-0.1733398355760624,-0.4387185096986165,-0.31446605933489463,-0.14572816830415097,-0.15339807006191788
28,34.276,0.82,256,267,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.013805833635955696,-0.17794176266808814,0.107378659515318,0.44332045424393524,0.10124272763712919,0.07363107781851078,-0.1733398355760624,-0.8513593394581928,-0.30986411478957643,-0.16413594648542543,-0.16260195915255485
29,34.480000000000004,0.204,268,273,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.013805833635955696,-0.17794176266808814,0.107378659515318,0.44332045424393524,0.0859029241215959,0.08743691145446647,-0.1733398355760624,-0.8513593394581928,-0.30986411478957643,-0.16413594648542543,-0.16260195915255485
30,36.272000000000006,1.792,274,279,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.010737858970214563,-0.12885437745574763,0.107378659515318,0.3221359610926615,0.0859029241215959,0.08743691145446647,-0.1733398355760624,-0.1733398355760624,0.05982524418255508,-0.12885437745574763,-0.16260195915255485
31,36.708000000000006,0.436,280,285,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.010737858970214563,-0.12885437745574763,0.10584467218244743,0.3221359610926615,0.05522329963723685,0.1150485612730849,-0.1733398355760624,-0.1733398355760624,0.05982524418255508,-0.12885437745574763,-0.15646604472765852
